numpy.distutils.exec_command,subprocess.Popen
numpy.alen,numpy.len
numpy.core.typeNA,numpy.sctypeDict
numpy.core.sctypeNA,numpy.sctypeDict
numpy.testing.utils,numpy.testing
numpy.testing.decorators,numpy.testing
numpy.testing.nosetester,numpy.testing
numpy.testing.noseclasses,numpy.testing
numpy.core.umath_tests,
numpy.FloatFormat,numpy.FloatingFormat
numpy.LongFloatFormat,numpy.FloatingFormat
numpy.unique1d,numpy.unique
numpy.intersect1d_nu,numpy.intersect1d
numpy.setmember1d,numpy.in1d
numpy.asscalar,numpy.ndarray.item
numpy.loads,pickle.loads
numpy.core.numeric.load,pickle.load
numpy.core.numeric.loads,pickle.loads
numpy.ma.loads,pickle.loads
numpy.ma.dumps,pickle.dumps
numpy.ma.load,pickle.load
numpy.ma.dump,pickle.dump
numpy.lib.npyio.NpzFile.iteritem,numpy.lib.npyio.NpzFile.item
numpy.lib.npyio.NpzFile.iterkeys,numpy.lib.npyio.NpzFile.iterkeys
numpy.ndfromtxt,numpy.genfromtxt
numpy.mafromtxt,numpy.genfromtxt
numpy.fv,numpy_financial.fv
numpy.pmt,numpy_financial.pmt
numpy.nper,numpy_financial.nper
numpy.ipmt,numpy_financial.ipmt
numpy.ppmt,numpy_financial.ppmt
numpy.pv,numpy_financial.pv
numpy.rate,numpy_financial.rate
numpy.irr,numpy_financial.irr
numpy.npv,numpy_financial.npv
numpy.mirr,numpy_financial.mirr
numpy.random.RandomState.random_integers,numpy.random.RandomState.randint
numpy.PolyBase,ABCPolyBase
numpy.typeDict,np.sctypeDict
numpy._ctypes.get_data,_ctypes.data
numpy._ctypes.get_shape,_ctypes.shape
numpy._ctypes.get_strides,_ctypes.strides
numpy._ctypes.get_as_parameter,_ctypes._as_parameter_`
numpy.random.random_integers,np.random.randint
numpy.ma.MaskedArray.mini,np.ma.minimum.reduce
numpy.lib.function_base.unique,numpy.unique
numpy.rank,np.ndim
numpy.testing.rand,np.random.rand
numpy.ndarray.tostring,tobytes
numpy.sctypeNA,np.typeDict
numpy.typeNA,np.typeDict
